Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,3.746454e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0005259874
b3255,0.0007263823
b3256,0.0009318406
b2316,0.0006282956
b4015,0.004597625
b4014,0.001648787
b0114,0.003062133
b0115,0.001926073
b4016,0.0
b2296,0.000707846
b1276,0.0005827975
b0118,0.01205812
b0404,0.0
b1094,0.003916303
b2563,1.202085e-05
b3475,3.802143e-05
b0463,0.0004528082
b0462,0.0003884083
b2470,0.0
b3265,0.0
b3266,9.470852e-07
b0464,4.769376e-06
b0762,0.0
b4069,0.00469561
b4067,0.0008933804
b2213,0.0
b1623,0.0001483453
b3665,5.550028e-05
b3714,0.0
b3664,0.0
b1241,0.001668871
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0004890904
b2468,9.134683e-07
b3072,0.0001568925
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,4.856075e-05
b3136,0.0
b3133,5.116966e-05
b3134,0.0
b1002,0.0003308194
b0605,0.007440532
b0606,0.0004370767
b4269,0.0001382398
b4187,0.0
b2252,0.0
b2290,0.0002577995
b2379,0.0001420983
b2670,0.0
b2697,0.001353123
b1415,0.01185614
b3588,0.000158901
b2068,0.0
b2212,3.425485e-06
b0505,0.0
b0512,3.916727e-05
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001094672
b0504,0.0
b2624,0.0
b4053,4.416245e-05
b4087,0.0
b4088,2.150925e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,0.0
b2435,4.508168e-05
b4169,5.844331e-05
b2817,4.072579e-05
b0867,1.59111e-05
b1982,0.0004042544
b4150,0.0
b0110,0.0
b0111,2.352555e-05
b0433,0.0
b0376,5.850883e-05
b0451,0.0
b1927,0.0001573416
b1640,7.181734e-05
b1767,8.700386e-05
b2957,0.0
b1453,0.0
b0050,3.752931e-05
b0049,4.097048e-05
b4055,5.544541e-05
b0980,0.0
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0001685121
b0875,0.0
b0062,0.0
b0063,3.145121e-05
b0064,0.0
b0061,0.0
b2841,0.0
b1901,3.49939e-06
