Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,4.367019e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0006268967
b3255,0.0006888525
b3256,0.0008556944
b2316,0.0007202705
b4015,0.0004005409
b4014,0.0002849381
b0114,0.006247468
b0115,0.004257987
b4016,0.0
b2296,0.0009894906
b1276,0.0004361757
b0118,0.004726896
b0404,0.0
b1094,0.004771069
b2563,1.870985e-05
b3475,2.636551e-05
b0463,0.0005095964
b0462,0.0004634184
b2470,0.0
b3265,0.0
b3266,1.068445e-06
b0464,0.0
b0762,0.0
b4069,0.0002594779
b4067,1.920588e-05
b2213,0.0
b1623,6.074015e-05
b3665,0.0
b3714,0.0
b3664,0.0
b1241,0.003729432
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0009099625
b2468,0.0
b3072,0.0
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,5.099739e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,6.46592e-05
b0605,0.00534672
b0606,0.0005637088
b4269,7.668476e-05
b4187,0.0
b2252,1.095367e-05
b2290,0.0001637663
b2379,0.0001417524
b2670,0.0
b2697,0.00185025
b1415,0.000708312
b3588,5.362081e-05
b2068,0.0
b2212,4.992217e-06
b0505,0.0
b0512,1.030291e-05
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0002291625
b0504,0.0
b2624,0.0
b4053,4.523844e-05
b4087,0.0
b4088,1.103205e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,4.10069e-05
b2435,4.569442e-05
b4169,0.0001016471
b2817,3.712842e-05
b0867,2.239353e-05
b1982,0.0005382391
b4150,1.841677e-05
b0110,0.0
b0111,2.620166e-05
b0433,0.0
b0376,3.893762e-05
b0451,0.0
b1927,0.0001122061
b1640,7.500812e-05
b1767,0.0001072774
b2957,0.0
b1453,0.0
b0050,4.270329e-05
b0049,4.236036e-05
b4055,1.185604e-05
b0980,0.0
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0002852318
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,2.147098e-06
