Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,3.843743e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0005725978
b3255,0.0007048632
b3256,0.0009460636
b2316,0.0006699841
b4015,0.002432643
b4014,0.0009148961
b0114,0.00313764
b0115,0.001786811
b4016,0.0
b2296,0.0007081255
b1276,0.0004585778
b0118,0.0112505
b0404,0.0
b1094,0.004232028
b2563,1.029541e-05
b3475,3.108089e-05
b0463,0.0004516502
b0462,0.0004031276
b2470,0.0
b3265,0.0
b3266,9.816312e-07
b0464,0.0
b0762,0.0
b4069,0.003813435
b4067,0.0007195639
b2213,0.0
b1623,0.0001016204
b3665,5.320755e-05
b3714,0.0
b3664,0.0
b1241,0.001641461
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0005138116
b2468,1.109367e-06
b3072,0.0002262185
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,5.681653e-05
b3136,0.0
b3133,4.865753e-05
b3134,0.0
b1002,0.0002329555
b0605,0.007091008
b0606,0.0004620885
b4269,7.52753e-05
b4187,0.0
b2252,0.0
b2290,0.0002343953
b2379,0.0001296994
b2670,0.0
b2697,0.00145185
b1415,0.00914025
b3588,9.097677e-05
b2068,0.0
b2212,3.5731e-06
b0505,0.0
b0512,3.455642e-05
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001058283
b0504,0.0
b2624,0.0
b4053,5.143211e-05
b4087,0.0
b4088,1.878429e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,0.0
b2435,6.203196e-05
b4169,6.107345e-05
b2817,4.146761e-05
b0867,1.191372e-05
b1982,0.0003610055
b4150,0.0
b0110,0.0
b0111,1.970502e-05
b0433,0.0
b0376,5.306475e-05
b0451,0.0
b1927,0.0001345093
b1640,6.589773e-05
b1767,9.101722e-05
b2957,0.0
b1453,0.0
b0050,2.612454e-05
b0049,4.054244e-05
b4055,4.010302e-05
b0980,1.016329e-05
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0002084428
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,2.621916e-06
